f1_A;f1_C;f1_G;f2_A;f2_C;f2_G;f3_A;f3_C;f3_G;f4_A;f4_C;f4_G;f5_A;f5_C;f5_G;f6_A;f6_C;f6_G;f7_A;f7_C;f7_G;f8_A;f8_C;f8_G;f9_A;f9_C;f9_G;f10_A;f10_C;f10_G;f11_A;f11_C;f11_G;f12_A;f12_C;f12_G;f13_A;f13_C;f13_G;f14_A;f14_C;f14_G;f15_A;f15_C;f15_G;f16_A;f16_C;f16_G;f17_A;f17_C;f17_G;f18_A;f18_C;f18_G;f19_A;f19_C;f19_G;f20_A;f20_C;f20_G;f21_A;f21_C;f21_G;f22_A;f22_C;f22_G;f23_A;f23_C;f23_G;f24_A;f24_C;f24_G;f25_A;f25_C;f25_G;f26_A;f26_C;f26_G;f27_A;f27_C;f27_G;f28_A;f28_C;f28_G;f29_A;f29_C;f29_G;f30_A;f30_C;f30_G;f31_A;f31_C;f31_G;f32_A;f32_C;f32_G;f33_A;f33_C;f33_G;f33_N;f34_A;f34_C;f34_G;f35_A;f35_C;f35_G;f36_A;f36_C;f36_G;f37_A;f37_C;f37_G;f37_N;f38_A;f38_C;f38_G;f38_N;f39_A;f39_C;f39_G;f40_A;f40_C;f40_G;f41_A;f41_C;f41_G;f42_A;f42_C;f42_G;f43_A;f43_C;f43_G;f44_A;f44_C;f44_G;f45_A;f45_C;f45_G;f46_A;f46_C;f46_G;f47_A;f47_C;f47_G;f48_A;f48_C;f48_G;f49_A;f49_C;f49_G;f49_N;f50_A;f50_C;f50_G;f50_N;f51_A;f51_C;f51_G;f52_A;f52_C;f52_G;f53_A;f53_C;f53_G;f54_A;f54_C;f54_G;f55_A;f55_C;f55_G;f56_A;f56_C;f56_G;f56_N;f57_A;f57_C;f57_G;f58_A;f58_C;f58_G;f59_A;f59_C;f59_G;f60_A;f60_C;f60_G;Classes
1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;2
1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0
0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;2
1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1
0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1
0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1
0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2
1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0
0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;2
